column 1	column 2	column 3	Product	GO terms (biological process)
thrT	3.75971925541704	0.0467002585041091	tRNA-Thr(GGU)	
nikA	2.67036385065268	1.42575376080828e-07	Ni(2+) ABC transporter periplasmic binding protein	nickel cation import across plasma membrane // peptide transport // transmembrane transport // negative chemotaxis // nickel cation transport
yraQ	2.55181596713873	0.000100481131870598	permease family protein YraQ	
ynbA	-2.49255351361038	0.00716057148219008	CDP-alcohol phosphatidyltransferase domain-containing protein YnbA	phospholipid biosynthetic process
astB	2.41403913340758	0.000210236942136704	<i>N</i>-succinylarginine dihydrolase	L-arginine catabolic process to L-glutamate // arginine metabolic process // L-arginine catabolic process // L-arginine catabolic process to succinate
puuB	2.3544559363961	0.000453019886530953	&gamma;-glutamylputrescine oxidase	putrescine catabolic process
yidG	2.33930281610282	0.00509543952997696	inner membrane protein YidG	
yffB	2.32865235318879	0.00044365002871595	putative reductase YffB	
rhsA	-2.32265726663297	3.71337750589767e-08	rhs element protein RhsA	
astE	2.31907196253436	0.000456289882772419	succinylglutamate desuccinylase	L-arginine catabolic process to L-glutamate // arginine metabolic process // L-arginine catabolic process to succinate
ryjB	2.30200984425001	0.0121634041139797	small RNA RyjB	
astA	2.30062947663971	0.000714486853510614	arginine N-succinyltransferase	L-arginine catabolic process to L-glutamate // L-arginine catabolic process // arginine metabolic process // L-arginine catabolic process to succinate
ygfT	-2.2922183708628	5.35536337510342e-07	putative oxidoreductase YgfT	urate catabolic process
rpsO	2.27423984934976	0.000714486853510614	30S ribosomal subunit protein S15	cytoplasmic translation // ribosomal small subunit assembly // regulation of translation // translation
yaaU	2.26891733677988	0.000834107480126713	putative transporter YaaU	transmembrane transport // response to oxidative stress
aroP	2.24991530353681	0.000875964231615406	aromatic amino acid:H<sup>+</sup> symporter AroP	transmembrane transport // amino acid transport // phenylalanine transport // tryptophan transport // tyrosine transport
uspG	-2.24457228200826	2.69945979385989e-05	universal stress protein G	regulation of bacterial-type flagellum-dependent cell motility // nucleoside monophosphate phosphorylation // response to stress
gltP	2.21692305211315	0.00123684927028422	glutamate/aspartate : H<sup>+</sup> symporter GltP	amino acid transmembrane transport // proton transmembrane transport // transmembrane transport // amino acid transport // dicarboxylic acid transport
yfcC	-2.19129983464435	8.92011028548815e-06	putative transporter YfcC	transmembrane transport
carA	-2.17324216938333	0.000154668281063132	carbamoyl-phosphate synthetase small subunit	amino acid biosynthetic process // pyrimidine nucleobase biosynthetic process // 'de novo' UMP biosynthetic process // 'de novo' pyrimidine nucleobase biosynthetic process // glutamine metabolic process // L-arginine biosynthetic process // pyrimidine nucleotide biosynthetic process
