locus_tag	ftype	length_bp	gene	EC_number	COG	product
OCMBFCID_00001	CDS	2322	acnB	4.2.1.3	COG1049	Aconitate hydratase B
OCMBFCID_00002	CDS	363				hypothetical protein
OCMBFCID_00003	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
OCMBFCID_00004	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
OCMBFCID_00005	CDS	309				hypothetical protein
OCMBFCID_00006	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
OCMBFCID_00007	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
OCMBFCID_00008	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
OCMBFCID_00009	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
OCMBFCID_00010	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
OCMBFCID_00011	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
OCMBFCID_00012	CDS	441	levD		COG2893	PTS system fructose-specific EIIA component
OCMBFCID_00013	CDS	1230	icaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
OCMBFCID_00014	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
OCMBFCID_00015	CDS	945	rpnA_1	3.1.21.-	COG5464	Recombination-promoting nuclease RpnA
OCMBFCID_00016	CDS	216				hypothetical protein
OCMBFCID_00017	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
OCMBFCID_00018	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
OCMBFCID_00019	CDS	1251	yadC			putative fimbrial-like protein YadC
OCMBFCID_00020	CDS	600	yadK			putative fimbrial-like protein YadK
OCMBFCID_00021	CDS	561	yadM			putative fimbrial-like protein YadM
OCMBFCID_00022	CDS	2622	htrE		COG3188	Outer membrane usher protein HtrE
OCMBFCID_00023	CDS	732	yadV			putative fimbrial chaperone YadV
OCMBFCID_00024	CDS	573	yadN			putative fimbrial-like protein YadN
OCMBFCID_00025	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
OCMBFCID_00026	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
OCMBFCID_00027	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
OCMBFCID_00028	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
OCMBFCID_00029	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
OCMBFCID_00030	CDS	531	thpR	3.1.4.-	COG1514	RNA 2',3'-cyclic phosphodiesterase
OCMBFCID_00031	CDS	2430	srmB_1	3.6.4.13		ATP-dependent RNA helicase SrmB
OCMBFCID_00032	CDS	2535	mrcB		COG0744	Penicillin-binding protein 1B
OCMBFCID_00033	CDS	2259	fhuA		COG1629	Ferrichrome outer membrane transporter/phage receptor
OCMBFCID_00034	CDS	798	fhuC	3.6.3.34	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
OCMBFCID_00035	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
OCMBFCID_00036	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
OCMBFCID_00037	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
OCMBFCID_00038	CDS	1422	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
OCMBFCID_00039	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
OCMBFCID_00040	CDS	624				hypothetical protein
OCMBFCID_00041	CDS	801	btuF		COG0614	Vitamin B12-binding protein
OCMBFCID_00042	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
OCMBFCID_00043	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
OCMBFCID_00044	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
OCMBFCID_00045	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
OCMBFCID_00046	CDS	387				hypothetical protein
OCMBFCID_00047	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
OCMBFCID_00048	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
OCMBFCID_00049	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
OCMBFCID_00050	CDS	726	rpsB		COG0052	30S ribosomal protein S2
OCMBFCID_00051	CDS	852	tsf		COG0264	Elongation factor Ts
OCMBFCID_00052	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
OCMBFCID_00053	CDS	558	frr		COG0233	Ribosome-recycling factor
OCMBFCID_00054	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
OCMBFCID_00055	CDS	759	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
OCMBFCID_00056	CDS	153				hypothetical protein
OCMBFCID_00057	CDS	750	cdsA_1	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
OCMBFCID_00058	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
OCMBFCID_00059	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
OCMBFCID_00060	CDS	486	skp		COG2825	Chaperone protein Skp
OCMBFCID_00061	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
OCMBFCID_00062	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
OCMBFCID_00063	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
OCMBFCID_00064	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
OCMBFCID_00065	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
OCMBFCID_00066	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
OCMBFCID_00067	CDS	960	accA	6.4.1.2	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
OCMBFCID_00068	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
OCMBFCID_00069	CDS	390	cetB	5.1.3.33		2-epi-5-epi-valiolone epimerase
OCMBFCID_00070	CDS	1296	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
OCMBFCID_00071	CDS	261	rof		COG4568	Protein rof
OCMBFCID_00072	CDS	201				hypothetical protein
OCMBFCID_00073	CDS	546	yaeQ		COG4681	putative protein YaeQ
OCMBFCID_00074	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
OCMBFCID_00075	CDS	711	nlpE		COG3015	Lipoprotein NlpE
OCMBFCID_00076	CDS	825				hypothetical protein
OCMBFCID_00077	CDS	1719	proS_1	6.1.1.15	COG0442	Proline--tRNA ligase
OCMBFCID_00078	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
OCMBFCID_00079	CDS	405	rcsF			Outer membrane lipoprotein RcsF
OCMBFCID_00080	CDS	816	metQ		COG1464	D-methionine-binding lipoprotein MetQ
OCMBFCID_00081	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
OCMBFCID_00082	CDS	1032	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
OCMBFCID_00083	CDS	573	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
OCMBFCID_00084	rRNA	1538				16S ribosomal RNA
OCMBFCID_00085	tRNA	77				tRNA-Ile(gat)
OCMBFCID_00086	tRNA	76				tRNA-Ala(tgc)
OCMBFCID_00087	rRNA	2902				23S ribosomal RNA
OCMBFCID_00088	rRNA	111				5S ribosomal RNA
OCMBFCID_00089	tRNA	77				tRNA-Asp(gtc)
OCMBFCID_00090	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
OCMBFCID_00091	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
OCMBFCID_00092	CDS	780				hypothetical protein
OCMBFCID_00093	CDS	771	ycgJ	2.1.1.-		putative methyltransferase YcgJ
OCMBFCID_00094	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
OCMBFCID_00095	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
OCMBFCID_00096	CDS	723	ubiE_1	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
OCMBFCID_00097	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
OCMBFCID_00098	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
OCMBFCID_00099	tRNA	77				tRNA-Asp(gtc)
OCMBFCID_00100	CDS	786				hypothetical protein
OCMBFCID_00101	CDS	480	hcpA_1		COG3157	Major exported protein
OCMBFCID_00102	CDS	1359				hypothetical protein
OCMBFCID_00103	CDS	3528				hypothetical protein
OCMBFCID_00104	CDS	1443				hypothetical protein
OCMBFCID_00105	CDS	744				hypothetical protein
OCMBFCID_00106	CDS	2733	clpV1		COG0542	Protein ClpV1
OCMBFCID_00107	CDS	774				hypothetical protein
OCMBFCID_00108	CDS	1347				hypothetical protein
OCMBFCID_00109	CDS	525				hypothetical protein
OCMBFCID_00110	CDS	1281				hypothetical protein
OCMBFCID_00111	CDS	1050				hypothetical protein
OCMBFCID_00112	CDS	1842				hypothetical protein
OCMBFCID_00113	CDS	426				hypothetical protein
OCMBFCID_00114	CDS	1485				hypothetical protein
OCMBFCID_00115	CDS	504				hypothetical protein
OCMBFCID_00116	CDS	519	hcpA_2		COG3157	Major exported protein
OCMBFCID_00117	CDS	120				hypothetical protein
OCMBFCID_00118	CDS	1959	vgrG1_1	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
OCMBFCID_00119	CDS	840				hypothetical protein
OCMBFCID_00120	CDS	1572				hypothetical protein
OCMBFCID_00121	CDS	963				hypothetical protein
OCMBFCID_00122	CDS	957				hypothetical protein
OCMBFCID_00123	CDS	1251	ltrA_1		COG3344	Group II intron-encoded protein LtrA
OCMBFCID_00124	CDS	471				hypothetical protein
OCMBFCID_00125	CDS	657				hypothetical protein
OCMBFCID_00126	CDS	504				hypothetical protein
OCMBFCID_00127	CDS	489				hypothetical protein
OCMBFCID_00128	CDS	771	yafV	3.5.1.3		Omega-amidase YafV
OCMBFCID_00129	CDS	474	ivy			Inhibitor of vertebrate lysozyme
OCMBFCID_00130	CDS	2445	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
OCMBFCID_00131	CDS	579	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
OCMBFCID_00132	CDS	768	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
OCMBFCID_00133	CDS	741				hypothetical protein
OCMBFCID_00134	CDS	759	mepH_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepH
OCMBFCID_00135	CDS	498	rayT		COG1943	REP-associated tyrosine transposase
OCMBFCID_00136	CDS	747				hypothetical protein
OCMBFCID_00137	CDS	312				hypothetical protein
OCMBFCID_00138	CDS	2094	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
OCMBFCID_00139	CDS	1140	flhB_1		COG1377	Flagellar biosynthetic protein FlhB
OCMBFCID_00140	CDS	783	spaR_1		COG4791	Surface presentation of antigens protein SpaR
OCMBFCID_00141	CDS	273				hypothetical protein
OCMBFCID_00142	CDS	753	fliP_1		COG1338	Flagellar biosynthetic protein FliP
OCMBFCID_00143	CDS	372	fliN_1		COG1886	Flagellar motor switch protein FliN
OCMBFCID_00144	CDS	852				hypothetical protein
OCMBFCID_00145	CDS	981	vnfA		COG3604	Nitrogen fixation protein VnfA
OCMBFCID_00146	CDS	342	fliE_1			Flagellar hook-basal body complex protein FliE
OCMBFCID_00147	CDS	1647	fliF_1		COG1766	Flagellar M-ring protein
OCMBFCID_00148	CDS	1011	fliG_1		COG1536	Flagellar motor switch protein FliG
OCMBFCID_00149	CDS	711				hypothetical protein
OCMBFCID_00150	CDS	1338	fliI_1	3.6.3.14	COG1157	Flagellum-specific ATP synthase
OCMBFCID_00151	CDS	435				hypothetical protein
OCMBFCID_00152	CDS	405	tagD	2.7.7.39	COG0615	Glycerol-3-phosphate cytidylyltransferase
OCMBFCID_00153	CDS	2472				hypothetical protein
OCMBFCID_00154	CDS	930				hypothetical protein
OCMBFCID_00155	CDS	429				hypothetical protein
OCMBFCID_00156	CDS	279				hypothetical protein
OCMBFCID_00157	CDS	738				hypothetical protein
OCMBFCID_00158	CDS	336	flgB_1		COG1815	Flagellar basal body rod protein FlgB
OCMBFCID_00159	CDS	432	flgC_1		COG1558	Flagellar basal-body rod protein FlgC
OCMBFCID_00160	CDS	714	flgD_1		COG1843	Basal-body rod modification protein FlgD
OCMBFCID_00161	CDS	1203	flgE_1		COG1749	Flagellar hook protein FlgE
OCMBFCID_00162	CDS	738	flgF_1		COG4787	Flagellar basal-body rod protein FlgF
OCMBFCID_00163	CDS	786	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
OCMBFCID_00164	CDS	666	flgH_1			Flagellar L-ring protein
OCMBFCID_00165	CDS	1101	flgI_1			Flagellar P-ring protein
OCMBFCID_00166	CDS	300	flgJ_1	3.2.1.-	COG1705	Peptidoglycan hydrolase FlgJ
OCMBFCID_00167	CDS	1377	flgK_1		COG1256	Flagellar hook-associated protein 1
OCMBFCID_00168	CDS	930	flgL_1		COG1344	Flagellar hook-associated protein 3
OCMBFCID_00169	CDS	978				hypothetical protein
OCMBFCID_00170	CDS	345	higB2		COG4683	Putative toxin HigB2
OCMBFCID_00171	CDS	300	higA1		COG1396	Antitoxin HigA1
OCMBFCID_00172	CDS	843				hypothetical protein
OCMBFCID_00173	CDS	915	fliC1			Flagellin 1
OCMBFCID_00174	CDS	1317	fliD_1		COG1345	Flagellar hook-associated protein 2
OCMBFCID_00175	CDS	393	fliS_1		COG1516	Flagellar secretion chaperone FliS
OCMBFCID_00176	CDS	312				hypothetical protein
OCMBFCID_00177	CDS	1059				hypothetical protein
OCMBFCID_00178	CDS	468				hypothetical protein
OCMBFCID_00179	CDS	717	lafS		COG1191	RNA polymerase sigma factor for flagellar operon
OCMBFCID_00180	CDS	864	lafT		COG1291	Chemotaxis protein LafT
OCMBFCID_00181	CDS	924	lafU		COG1360	Chemotaxis protein LafU
OCMBFCID_00182	CDS	1056	dinB	2.7.7.7	COG0389	DNA polymerase IV
OCMBFCID_00183	CDS	294	yafN		COG2161	Antitoxin YafN
OCMBFCID_00184	CDS	198	yafO	3.1.-.-		mRNA interferase toxin YafO
OCMBFCID_00185	CDS	375	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
OCMBFCID_00186	CDS	1140	rtcB_1	6.5.1.-	COG1690	RNA-splicing ligase RtcB
OCMBFCID_00187	CDS	615	prfA_1		COG0216	Peptide chain release factor 1
OCMBFCID_00188	CDS	510				hypothetical protein
OCMBFCID_00189	CDS	282				hypothetical protein
OCMBFCID_00190	CDS	1458	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
OCMBFCID_00191	CDS	459	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
OCMBFCID_00192	CDS	1245				hypothetical protein
OCMBFCID_00193	CDS	402	crl			Sigma factor-binding protein Crl
OCMBFCID_00194	CDS	1056	phoE		COG3203	Outer membrane pore protein E
OCMBFCID_00195	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
OCMBFCID_00196	CDS	1254	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
OCMBFCID_00197	tRNA	76				tRNA-Thr(cgt)
OCMBFCID_00198	CDS	1164	xerD_1			Tyrosine recombinase XerD
OCMBFCID_00199	CDS	306				hypothetical protein
