#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	14678	14767	+	GJAFJC_00020	3.5	8.2		
contig_1	53090	53224	-	GJAFJC_00059	4.9	6.0		
contig_1	73411	74010	-	GJAFJC_00081	21.8	9.6		
contig_1	81553	81705	-	GJAFJC_00088	5.6	7.7		
contig_1	186459	186599	-	GJAFJC_00183	5.6	5.6		
contig_1	186575	187000	-	GJAFJC_00184	16.2	9.2		
contig_1	187179	187274	+	GJAFJC_00185	3.7	8.2		
contig_1	208375	209124	-	GJAFJC_00211	28.3	6.3	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
contig_1	209470	209649	-	GJAFJC_00212	6.6	9.4		
contig_1	250683	251393	-	GJAFJC_00244	25.6	6.3	PF01323.26|DSBA, PF10411.14|DsbC_N, PF13098.12|Thioredoxin_2	PFAM:PF01323.26, PFAM:PF10411.14, PFAM:PF13098.12
contig_1	312393	312848	+	GJAFJC_00307	17.8	9.8	PF10263.15|SprT-like, PF17283.8|Zn_ribbon_SprT	PFAM:PF10263.15, PFAM:PF17283.8
contig_1	339133	339462	-	GJAFJC_00336	12.0	5.9		
contig_1	339586	340017	-	GJAFJC_00337	15.6	6.0		
contig_1	354635	354748	-	GJAFJC_00358	4.4	10.2	PF03245.18|Phage_lysis	PFAM:PF03245.18
contig_1	355390	356022	-	GJAFJC_00360	24.3	9.7		
contig_1	356574	356834	+	GJAFJC_00361	9.2	5.1	PF07338.18|YdgH_BhsA-like	PFAM:PF07338.18
contig_1	359335	359577	-	GJAFJC_00367	8.9	5.3		SO:0001217, UniRef:UniRef50_A0AAW7V5N9
contig_1	368845	369426	-	GJAFJC_00376	22.2	9.0		SO:0001217, UniRef:UniRef50_A0AA36P836
