locus_tag	ftype	length_bp	gene	EC_number	COG	product
FNIJKLNN_00001	CDS	1203	proV		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
FNIJKLNN_00002	CDS	1065	proW		COG4176	Glycine betaine/proline betaine transport system permease protein ProW
FNIJKLNN_00003	CDS	993	proX		COG2113	Glycine betaine/proline betaine-binding periplasmic protein
FNIJKLNN_00004	CDS	1185				putative transporter
FNIJKLNN_00005	CDS	738	ygaZ		COG1296	Inner membrane protein YgaZ
FNIJKLNN_00006	CDS	336				hypothetical protein
FNIJKLNN_00007	CDS	531	mprA_1		COG1846	Transcriptional repressor MprA
FNIJKLNN_00008	CDS	1173	emrA		COG1566	Multidrug export protein EmrA
FNIJKLNN_00009	CDS	1539	emrB			Multidrug export protein EmrB
FNIJKLNN_00010	CDS	516	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
FNIJKLNN_00011	CDS	1557	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
FNIJKLNN_00012	CDS	429	yqaA		COG1238	Inner membrane protein YqaA
FNIJKLNN_00013	CDS	567	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
FNIJKLNN_00014	tRNA	77				tRNA-Arg(acg)
FNIJKLNN_00015	tRNA	77				tRNA-Arg(acg)
FNIJKLNN_00016	tRNA	77				tRNA-Arg(acg)
FNIJKLNN_00017	tRNA	72				tRNA-Arg(tcg)
FNIJKLNN_00018	tRNA	77				tRNA-Arg(acg)
FNIJKLNN_00019	tRNA	93				tRNA-Ser(gct)
FNIJKLNN_00020	CDS	90				hypothetical protein
FNIJKLNN_00021	CDS	186	csrA		COG1551	Carbon storage regulator
FNIJKLNN_00022	CDS	2631	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
FNIJKLNN_00023	CDS	501	recX		COG2137	Regulatory protein RecX
FNIJKLNN_00024	CDS	1062	recA		COG0468	Protein RecA
FNIJKLNN_00025	CDS	498	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
FNIJKLNN_00026	CDS	1191	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
