# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	8	2329	+	DBOHML_00001	1335.0	0.0	0.887	0.993	0.969	UniRef:UniRef50_A0A484WQ65
contig_1	cds	2526	2888	+	DBOHML_00002	183.0	5.3e-59	0.975	0.818	0.735	UniRef:UniRef50_P0A8E5
contig_1	cds	2926	3720	-	DBOHML_00003	406.0	3.2e-142	0.992	0.826	0.744	UniRef:UniRef50_P0A7F6
contig_1	cds	3736	4602	-	DBOHML_00004	415.0	9.9e-146	0.997	0.990	0.683	UniRef:UniRef50_A0A9W6K5P1
contig_1	cds	4708	5016	-	DBOHML_00005	158.0	2.2e-50	0.814	1.0	0.916	UniRef:UniRef50_A0A4Z0KCQ4
contig_1	cds	5221	6771	+	DBOHML_00006	971.0	0.0	1.194	1.0	0.828	UniRef:UniRef50_P36649
contig_1	cds	6818	9208	-	DBOHML_00007	1593.0	0.0	1.0	1.0	0.999	BlastRules:WP_001306211
contig_1	cds	9414	9950	+	DBOHML_00008	240.0	6.5e-80	0.989	0.893	0.670	UniRef:UniRef50_P18134
contig_1	cds	9991	10653	-	DBOHML_00009	290.0	4.5e-98	0.968	0.859	0.629	UniRef:UniRef50_P45148
contig_1	cds	10762	11688	+	DBOHML_00010	365.0	4.3e-125	0.984	0.902	0.624	UniRef:UniRef50_A0A0W0U308
contig_1	cds	11685	12455	+	DBOHML_00011	385.0	2.9e-134	1.0	0.828	0.742	UniRef:UniRef50_P0AFN6
contig_1	cds	12560	13000	+	DBOHML_00012	243.0	4.3e-82	1.0	0.864	0.781	UniRef:UniRef50_P36881
contig_1	cds	13064	14293	+	DBOHML_00013	671.0	9.0e-243	0.949	0.935	0.817	UniRef:UniRef50_A0A379WZK3
contig_1	cds	14297	14677	-	DBOHML_00014	214.0	9.5e-72	0.849	1.0	0.991	UniRef:UniRef50_A0A376FKL2
contig_1	cds	14951	15895	+	DBOHML_00015	530.0	9.5e-190	1.076	1.0	0.908	UniRef:UniRef50_P31665
contig_1	cds	15964	16179	+	DBOHML_00016	82.8	4.7e-21	0.859	0.884	0.885	UniRef:UniRef50_A0A1L1KD59
contig_1	cds	16261	17112	-	DBOHML_00017	468.0	1.6e-166	0.848	0.828	1.0	UniRef:UniRef50_A0A143WS51
contig_1	cds	17124	17918	-	DBOHML_00018	427.0	2.4e-150	0.996	0.840	0.825	UniRef:UniRef50_P31057
contig_1	cds	18032	19282	-	DBOHML_00019	-	-	-	-	-	-
contig_1	cds	19334	19933	-	DBOHML_00020	386.0	4.2e-137	1.0	0.952	1.0	UniRef:UniRef50_A0A0J8Y573
contig_1	cds	19947	20507	-	DBOHML_00021	182.0	1.5e-56	0.941	0.845	0.560	UniRef:UniRef50_P37018
contig_1	cds	20526	23147	-	DBOHML_00022	1738.0	0.0	1.0	0.980	1.0	UniRef:UniRef50_P33129
contig_1	cds	23161	23892	-	DBOHML_00023	264.0	1.6e-87	1.0	0.980	0.551	UniRef:UniRef50_A0A0D7LPL0
contig_1	cds	23985	24557	-	DBOHML_00024	257.0	6.7e-86	0.974	0.837	0.768	UniRef:UniRef50_P37050
contig_1	cds	24906	25385	-	DBOHML_00025	247.0	2.8e-83	0.937	0.898	0.826	UniRef:UniRef50_A0A090IJW5
contig_1	cds	25382	26746	-	DBOHML_00026	689.0	2.6e-247	0.958	0.804	0.793	UniRef:UniRef50_A0A2X3ERX0
contig_1	cds	26839	27765	-	DBOHML_00027	473.0	5.6e-168	0.925	0.963	0.782	UniRef:UniRef50_Q07Y01
contig_1	cds	27802	28257	-	DBOHML_00028	291.0	1.5e-100	1.0	0.825	0.967	UniRef:UniRef50_P57294
contig_1	cds	28435	29139	-	DBOHML_00029	256.0	3.1e-84	1.107	0.977	0.510	UniRef:UniRef50_Q8ZRQ6
contig_1	cds	29154	29684	-	DBOHML_00030	257.0	1.3e-86	1.057	0.989	0.688	UniRef:UniRef50_A0A379TGX4
contig_1	cds	29758	32187	+	DBOHML_00031	977.0	0.0	1.002	0.930	0.630	UniRef:UniRef50_P37024
contig_1	cds	32281	34815	+	DBOHML_00032	1172.0	0.0	1.065	1.004	0.691	UniRef:UniRef50_A0A0U3BXI8
