ID or #		Start	End	Type	Contig
==================================================
BMIABBIL_00001		337	2799	complete	contig_1:5112188-5114650
BMIABBIL_00002		2801	3733	complete	contig_1:5114652-5115584
BMIABBIL_00003		3734	5020	complete	contig_1:5115585-5116871
BMIABBIL_00004		5234	5530	complete	contig_1:5117085-5117381
BMIABBIL_00005		5683	6459	complete	contig_1:5117534-5118310
BMIABBIL_00006		6529	7959	complete	contig_1:5118380-5119810
BMIABBIL_00007		8238	9191	complete	contig_1:5120089-5121042
BMIABBIL_00008		9306	9893	complete	contig_1:5121157-5121744
BMIABBIL_00009		9928	10494	complete	contig_1:5121779-5122345
BMIABBIL_00010		10643	11356	complete	contig_1:5122494-5123207
BMIABBIL_00011		11382	11786	complete	contig_1:5123233-5123637
BMIABBIL_00012		12163	14079	complete	contig_1:5124014-5125930
BMIABBIL_00013		14168	15298	complete	contig_1:5126019-5127149
BMIABBIL_00016		16751	16903	complete	contig_1:5127251-5127403
BMIABBIL_00017		17489	18655	complete	contig_1:5127989-5129155
BMIABBIL_00018		18721	19620	complete	contig_1:5129221-5130120
BMIABBIL_00021		20815	21078	complete	contig_1:5137051-5137314
BMIABBIL_00022		21407	22348	complete	contig_1:5137643-5138584
BMIABBIL_00023		22391	25207	complete	contig_1:5138627-5141443
BMIABBIL_00024		25207	25701	complete	contig_1:5141443-5141937
BMIABBIL_00025		25826	26275	complete	contig_1:5142062-5142511
BMIABBIL_00026		26277	27227	complete	contig_1:5142513-5143463
BMIABBIL_00027		27293	28207	complete	contig_1:5143529-5144443
BMIABBIL_00028		28374	29195	complete	contig_1:5144610-5145431
BMIABBIL_00029		29651	30799	complete	contig_1:5145887-5147035
BMIABBIL_00030		30817	34038	complete	contig_1:5147053-5150274
BMIABBIL_00031		34300	34695	complete	contig_1:5150536-5150931
BMIABBIL_00032		34781	35371	complete	contig_1:5151017-5151607
BMIABBIL_00033		35377	36162	complete	contig_1:5151613-5152398
BMIABBIL_00034		36271	37824	complete	contig_1:5152507-5154060
BMIABBIL_00035		37898	39115	complete	contig_1:5154134-5155351
BMIABBIL_00036		39244	40386	complete	contig_1:5155480-5156622
BMIABBIL_00037		40417	41931	complete	contig_1:5156653-5158167
BMIABBIL_00038		42403	43173	complete	contig_1:5158639-5159409
BMIABBIL_00039		43188	44129	complete	contig_1:5159424-5160365
BMIABBIL_00040		44180	45466	complete	contig_1:5160416-5161702
BMIABBIL_00041		45463	45750	complete	contig_1:5161699-5161986
BMIABBIL_00042		45807	47138	complete	contig_1:5162043-5163374
BMIABBIL_00043		47246	47776	complete	contig_1:5163482-5164012
BMIABBIL_00044		47769	49631	complete	contig_1:5164005-5165867
BMIABBIL_00045		49712	50302	complete	contig_1:5165948-5166538
BMIABBIL_00046		50380	51222	complete	contig_1:5166616-5167458
BMIABBIL_00047		51229	51606	complete	contig_1:5167465-5167842
BMIABBIL_00048		51609	52430	complete	contig_1:5167845-5168666
BMIABBIL_00049		52427	53416	complete	contig_1:5168663-5169652
BMIABBIL_00050		53416	54702	complete	contig_1:5169652-5170938
BMIABBIL_00051		54755	57109	complete	contig_1:5170991-5173345
BMIABBIL_00052		57364	58179	complete	contig_1:5173600-5174415
BMIABBIL_00053		58474	59124	complete	contig_1:5174710-5175360
BMIABBIL_00054		59121	59279	complete	contig_1:5175357-5175515
BMIABBIL_00055		59687	60346	complete	contig_1:5175923-5176582
BMIABBIL_00056		60358	63264	complete	contig_1:5176594-5179500
BMIABBIL_00057		63429	65780	complete	contig_1:5179665-5182016
BMIABBIL_00058		65855	66550	complete	contig_1:5182091-5182786
BMIABBIL_00059		66835	68337	complete	contig_1:5183071-5184573
BMIABBIL_00060		68348	70048	complete	contig_1:5184584-5186284
BMIABBIL_00061		70387	71265	complete	contig_1:5186623-5187501
BMIABBIL_00062		71351	72115	complete	contig_1:5187587-5188351
BMIABBIL_00063		72229	72927	complete	contig_1:5188465-5189163
BMIABBIL_00064		72911	74521	complete	contig_1:5189147-5190757
BMIABBIL_00065		74497	75480	complete	contig_1:5190733-5191716
BMIABBIL_00069		78848	79453	partial	contig_1:5195463-5196031
BMIABBIL_00070		79464	80864	complete	contig_1:5196042-5197442
BMIABBIL_00071		80867	81958	complete	contig_1:5197445-5198536
BMIABBIL_00072		81958	83529	complete	contig_1:5198536-5200107
BMIABBIL_00073		84368	85312	complete	contig_1:5200946-5201890
BMIABBIL_00074		85630	87354	complete	contig_1:5202208-5203932
BMIABBIL_00075		87357	87848	complete	contig_1:5203935-5204426
BMIABBIL_00076		88028	89032	complete	contig_1:5204606-5205610
BMIABBIL_00077		89634	90092	complete	contig_1:5206212-5206670
BMIABBIL_00078		90094	91035	complete	contig_1:5206672-5207613
BMIABBIL_00079		91032	91397	complete	contig_1:5207610-5207975
BMIABBIL_00080		91413	93179	complete	contig_1:5207991-5209757
BMIABBIL_00081		93166	94653	complete	contig_1:5209744-5211231
BMIABBIL_00082		94650	96008	complete	contig_1:5211228-5212586
BMIABBIL_00083		96002	97084	complete	contig_1:5212580-5213662
BMIABBIL_00084		97087	98403	complete	contig_1:5213665-5214981
BMIABBIL_00085		98403	99647	complete	contig_1:5214981-5216225
BMIABBIL_00086		99644	100711	complete	contig_1:5216222-5217289
BMIABBIL_00087		100765	102240	complete	contig_1:5217343-5218818
BMIABBIL_00088		102233	103153	complete	contig_1:5218811-5219731
BMIABBIL_00089		103155	103985	complete	contig_1:5219733-5220563
BMIABBIL_00090		103982	105244	complete	contig_1:5220560-5221822
BMIABBIL_00091		105305	106456	complete	contig_1:5221883-5223034
BMIABBIL_00092		106557	107474	complete	contig_1:5223135-5224052
