#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	18032	19282	-	DBOHML_00019	45.5	5.5	PF00419.26|Fimbrial	PFAM:PF00419.26
contig_1	80368	80628	-	DBOHML_00074	9.7	4.7		
contig_1	87486	88139	-	DBOHML_00084	23.3	10.1		
contig_1	105695	107053	-	DBOHML_00106	51.6	6.3		
contig_1	122345	122770	-	DBOHML_00117	16.1	5.7	PF04965.19|GPW_gp25	PFAM:PF04965.19
contig_1	126092	126211	+	DBOHML_00121	4.3	6.9		
contig_1	129046	130617	+	DBOHML_00124	59.2	5.4		SO:0001217, UniRef:UniRef50_A0A0H2V8I4
contig_1	144480	145238	+	DBOHML_00139	29.3	9.5		
contig_1	168186	169388	+	DBOHML_00171	41.9	4.1	PF06429.18|Flg_bbr_C, PF07559.19|FlgE_D2, PF22692.1|LlgE_F_G_D1	PFAM:PF06429.18, PFAM:PF07559.19, PFAM:PF22692.1
contig_1	187685	187882	+	DBOHML_00195	7.6	6.0		
contig_1	188171	188545	+	DBOHML_00196	14.4	9.2	PF13508.13|Acetyltransf_7, PF13673.13|Acetyltransf_10	PFAM:PF13508.13, PFAM:PF13673.13
contig_1	203723	204157	+	DBOHML_00215	16.9	6.4		
contig_1	205465	205725	+	DBOHML_00218	9.8	9.5	PF01381.28|HTH_3, PF13560.12|HTH_31	PFAM:PF01381.28, PFAM:PF13560.12
contig_1	206266	206604	+	DBOHML_00220	12.1	9.3		
contig_1	207558	208046	+	DBOHML_00222	18.6	9.9		SO:0001217, UniRef:UniRef50_A0AAX0LVX8
contig_1	214586	215449	+	DBOHML_00233	32.8	5.7		
contig_1	218238	218420	+	DBOHML_00237	6.4	9.1		
contig_1	221559	221759	+	DBOHML_00241	7.1	9.1		
contig_1	223539	223709	+	DBOHML_00246	6.4	9.3		
contig_1	225545	225814	+	DBOHML_00249	9.9	5.2		
contig_1	239175	240092	-	DBOHML_00265	35.1	4.8		SO:0001217, UniRef:UniRef50_A0A833EK37
contig_1	240227	240379	+	DBOHML_00266	5.8	9.9		SO:0001217, UniRef:UniRef50_A0A234EMI3
contig_1	244938	245087	-	DBOHML_00270	5.4	11.7		
contig_1	250891	251130	-	DBOHML_00278	8.4	6.2		
contig_1	273610	274467	-	DBOHML_00297	33.9	8.4	PF00165.29|HTH_AraC, PF06445.20|GyrI-like, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF06445.20, PFAM:PF12833.13
contig_1	293300	293905	+	DBOHML_00313	21.6	5.5	PF00023.36|Ank, PF12796.13|Ank_2, PF13606.12|Ank_3, PF13637.12|Ank_4, PF13857.12|Ank_5	PFAM:PF00023.36, PFAM:PF12796.13, PFAM:PF13606.12, PFAM:PF13637.12, PFAM:PF13857.12
contig_1	300496	300906	+	DBOHML_00319	15.1	4.9	PF04266.20|ASCH	PFAM:PF04266.20
contig_1	308200	308445	+	DBOHML_00326	8.8	10.7		
contig_1	308636	309094	-	DBOHML_00327	16.8	8.8		
contig_1	312317	312856	-	DBOHML_00331	19.4	11.2		
contig_1	356403	356504	-	DBOHML_00379	3.9	11.6		SO:0001217, UniRef:UniRef50_A0A658Z4P2
contig_1	363527	363847	+	DBOHML_00387	11.7	9.8	PF07769.19|PsiF_repeat	PFAM:PF07769.19
contig_1	368811	368993	-	DBOHML_00395	6.8	4.8		SO:0001217, UniRef:UniRef50_A0A0K4C8M6
contig_1	439581	439892	-	DBOHML_00459	11.5	9.9	PF01035.26|DNA_binding_1	PFAM:PF01035.26
contig_1	503093	503515	-	DBOHML_00499	15.2	8.3		
contig_1	558472	558702	+	DBOHML_00562	8.2	9.8		
contig_1	570319	570471	+	DBOHML_00581	5.8	9.5		
contig_1	593602	594306	+	DBOHML_00605	26.3	5.1	PF13884.11|Peptidase_S74	PFAM:PF13884.11
contig_1	605120	605656	-	DBOHML_00614	20.8	9.6		
contig_1	606735	606854	+	DBOHML_00617	4.6	9.5		
contig_1	606954	607196	-	DBOHML_00618	9.3	9.5		
contig_1	608659	608859	-	DBOHML_00620	7.4	4.7		SO:0001217, UniRef:UniRef50_A0A376VLB4
contig_1	610971	611249	-	DBOHML_00624	9.8	9.5		SO:0001217, UniRef:UniRef50_A0A0Q3BLP0
contig_1	612417	612731	-	DBOHML_00626	11.1	8.5	PF13665.11|Tox-PAAR-like	PFAM:PF13665.11
contig_1	612785	613825	-	DBOHML_00627	39.1	5.3		SO:0001217, UniRef:UniRef50_A0A1B7JC47
contig_1	613937	614977	-	DBOHML_00628	39.5	5.4		SO:0001217, UniRef:UniRef50_A0A1B7JC47
contig_1	615003	615302	-	DBOHML_00629	10.8	5.5		
contig_1	627714	628097	-	DBOHML_00639	14.7	8.7		
contig_1	629606	629782	+	DBOHML_00642	6.7	4.8		SO:0001217, UniRef:UniRef50_A0A377B3K0
contig_1	663065	663154	-	DBOHML_00674	3.3	4.5		
contig_1	678688	678891	+	DBOHML_00691	7.0	9.0		
contig_1	695314	696291	-	DBOHML_00708	37.0	4.8	PF08238.18|Sel1, PF23310.1|TPR_27	PFAM:PF08238.18, PFAM:PF23310.1
contig_1	698596	699150	-	DBOHML_00711	21.0	9.5	PF08238.18|Sel1	PFAM:PF08238.18
contig_1	716014	716277	+	DBOHML_00734	9.6	6.7		
contig_1	760466	760573	-	DBOHML_00775	3.8	9.1		
contig_1	783086	783508	-	DBOHML_00797	15.7	4.7		SO:0001217, UniRef:UniRef50_A0A0K4B1W9
contig_1	788077	788190	+	DBOHML_00801	4.0	4.4		
contig_1	798778	799158	-	DBOHML_00820	12.9	4.6		
contig_1	834507	834896	+	DBOHML_00854	14.6	8.6		
contig_1	897261	897590	-	DBOHML_00912	12.0	9.3	PF01381.28|HTH_3	PFAM:PF01381.28, SO:0001217, UniRef:UniRef50_H3RLU2
contig_1	897580	897966	-	DBOHML_00913	14.3	9.3	PF06296.18|RelE	PFAM:PF06296.18
contig_1	928667	929182	-	DBOHML_00948	18.9	6.4	PF12883.13|DUF3828	PFAM:PF12883.13
contig_1	1036455	1036622	+	DBOHML_01032	6.5	10.9		
contig_1	1079711	1079884	+	DBOHML_01076	5.9	9.9		
contig_1	1092416	1093759	-	DBOHML_01088	50.4	8.8		SO:0001217, UniRef:UniRef50_A0A3S4LJC3
contig_1	1094768	1094914	-	DBOHML_01089	5.9	9.3		SO:0001217, UniRef:UniRef50_Q8X465
contig_1	1107409	1107864	+	DBOHML_01106	15.9	9.6	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_1	1107905	1108360	+	DBOHML_01107	15.0	5.0	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_1	1108872	1109183	+	DBOHML_01109	11.2	8.6		
contig_1	1189840	1190109	-	DBOHML_01195	10.2	9.3	PF07825.17|Exc	PFAM:PF07825.17
contig_1	1194489	1194863	-	DBOHML_01203	14.1	5.9		SO:0001217, UniRef:UniRef50_A0A0H0P8S9
contig_1	1195718	1195945	+	DBOHML_01206	8.2	9.8	PF14549.12|P22_Cro	PFAM:PF14549.12
contig_1	1201110	1202096	+	DBOHML_01217	36.3	5.1		
contig_1	1202217	1202396	+	DBOHML_01218	7.0	7.8		
contig_1	1207295	1207456	+	DBOHML_01230	5.6	5.5		
contig_1	1209479	1209625	+	DBOHML_01234	5.1	9.7		
contig_1	1211001	1211354	-	DBOHML_01238	13.4	9.0		SO:0001217, UniRef:UniRef50_A0A0A2RHB5
contig_1	1243814	1243915	-	DBOHML_01271	3.9	10.0		
contig_1	1252214	1252405	-	DBOHML_01283	6.9	5.2		
contig_1	1254396	1254539	-	DBOHML_01288	5.5	9.6		
contig_1	1254508	1254672	-	DBOHML_01289	6.0	9.0		
contig_1	1255374	1255955	+	DBOHML_01291	22.5	8.4		
contig_1	1256723	1257622	-	DBOHML_01293	32.2	5.4		SO:0001217, UniRef:UniRef50_B7ULR7
contig_1	1290493	1290786	+	DBOHML_01335	10.9	6.2		SO:0001217, UniRef:UniRef50_A0A096FDA3
contig_1	1296598	1296984	+	DBOHML_01341	14.8	4.4		
contig_1	1297107	1297262	+	DBOHML_01342	5.9	10.1		SO:0001217, UniRef:UniRef50_A0A234EMI3
contig_1	1305639	1306622	+	DBOHML_01352	35.1	4.7		
contig_1	1308696	1308980	-	DBOHML_01355	8.7	10.5	PF13441.11|Gly-zipper_YMGG, PF13488.11|Gly-zipper_Omp	PFAM:PF13441.11, PFAM:PF13488.11
contig_1	1309634	1309960	+	DBOHML_01356	11.8	8.1	PF03797.25|Autotransporter	PFAM:PF03797.25
contig_1	1327992	1328144	+	DBOHML_01376	5.6	4.5		
contig_1	1331704	1332438	-	DBOHML_01380	27.8	9.2	PF07238.19|PilZ, PF07317.18|PilZN	PFAM:PF07238.19, PFAM:PF07317.18
contig_1	1363260	1363367	-	DBOHML_01408	4.0	10.8		
contig_1	1363795	1363902	-	DBOHML_01410	4.0	10.8		
contig_1	1371204	1371422	+	DBOHML_01419	8.6	8.7		
contig_1	1380148	1380327	+	DBOHML_01425	6.4	5.6		
contig_1	1393511	1393666	+	DBOHML_01440	5.9	10.5		
contig_1	1393642	1393938	-	DBOHML_01441	11.3	8.6		SO:0001217, UniRef:UniRef50_A0A0H3EJ07
contig_1	1412668	1412943	+	DBOHML_01461	10.3	5.4		
contig_1	1412921	1413241	-	DBOHML_01462	12.2	5.0		SO:0001217, UniRef:UniRef50_A0A616MFR6
contig_1	1413253	1413486	-	DBOHML_01463	8.4	6.1		
contig_1	1429761	1429850	-	DBOHML_01490	3.3	4.7		
contig_1	1455408	1455578	+	DBOHML_01518	6.2	5.2		SO:0001217, UniRef:UniRef50_UPI002E19497F
contig_1	1458043	1458222	-	DBOHML_01524	6.0	9.9		
contig_1	1477478	1477645	+	DBOHML_01542	6.3	4.1		
contig_1	1536866	1537039	+	DBOHML_01602	6.4	5.6		SO:0001217, UniRef:UniRef50_A0A377BGW3
contig_1	1545550	1545816	+	DBOHML_01609	8.7	7.6	PF03891.20|DUF333	PFAM:PF03891.20
contig_1	1569995	1570294	-	DBOHML_01624	11.4	7.7		SO:0001217, UniRef:UniRef50_A0A148HK34
contig_1	1570909	1571019	+	DBOHML_01626	4.4	7.9		
contig_1	1575618	1575791	+	DBOHML_01632	5.8	9.5		
contig_1	1591019	1591189	-	DBOHML_01648	6.6	6.2		
contig_1	1600555	1600752	+	DBOHML_01658	7.3	10.0		
contig_1	1610926	1611210	+	DBOHML_01669	9.6	8.0	PF05488.18|PAAR_motif	PFAM:PF05488.18
contig_1	1614439	1615098	+	DBOHML_01672	25.6	9.1		SO:0001217, UniRef:UniRef50_A0A5Y2QRA3
contig_1	1615085	1615261	+	DBOHML_01673	6.9	4.1		
contig_1	1615878	1616438	+	DBOHML_01674	21.9	9.2		SO:0001217, UniRef:UniRef50_A0A0P7N6I8
contig_1	1641048	1641218	+	DBOHML_01695	6.3	6.9		
contig_1	1672086	1672319	-	DBOHML_01718	8.7	8.2		
contig_1	1686013	1686204	-	DBOHML_01730	7.2	5.6	PF04909.20|Amidohydro_2	PFAM:PF04909.20
contig_1	1686155	1686574	-	DBOHML_01731	15.7	8.9	PF04909.20|Amidohydro_2	PFAM:PF04909.20
contig_1	1690107	1690217	-	DBOHML_01736	4.3	5.6		
contig_1	1756620	1756787	+	DBOHML_01798	5.9	4.1		
contig_1	1760888	1761007	+	DBOHML_01808	4.4	9.6		
contig_1	1770118	1770345	-	DBOHML_01820	8.4	9.0	PF14549.12|P22_Cro	PFAM:PF14549.12
contig_1	1778041	1778151	-	DBOHML_01831	4.1	6.0		
contig_1	1833491	1835713	+	DBOHML_01883	80.3	8.6	PF00037.32|Fer4, PF01512.22|Complex1_51K, PF10531.15|SLBB, PF12797.12|Fer4_2, PF12837.12|Fer4_6, PF12838.12|Fer4_7, PF13183.11|Fer4_8, PF13237.11|Fer4_10, PF13375.12|RnfC_N, PF13534.11|Fer4_17	PFAM:PF00037.32, PFAM:PF01512.22, PFAM:PF10531.15, PFAM:PF12797.12, PFAM:PF12837.12, PFAM:PF12838.12, PFAM:PF13183.11, PFAM:PF13237.11, PFAM:PF13375.12, PFAM:PF13534.11
contig_1	1838858	1839058	+	DBOHML_01888	7.9	9.9		
contig_1	1891507	1891695	-	DBOHML_01944	7.3	5.2		
contig_1	1905978	1906154	-	DBOHML_01957	6.5	9.5		
contig_1	1916187	1916378	+	DBOHML_01966	7.1	9.8		
contig_1	1929522	1931420	+	DBOHML_01981	70.9	8.6	PF12796.13|Ank_2	PFAM:PF12796.13
contig_1	1933822	1934112	+	DBOHML_01985	10.9	4.2		
contig_1	2008248	2008562	+	DBOHML_02062	11.2	9.2		
contig_1	2034149	2034337	+	DBOHML_02089	6.7	9.9		
contig_1	2047260	2047535	+	DBOHML_02100	10.4	4.4		
contig_1	2063465	2063614	-	DBOHML_02120	5.7	9.9		SO:0001217, UniRef:UniRef50_B2U498
contig_1	2067299	2068621	-	DBOHML_02124	49.1	9.5	PF01476.26|LysM, PF01551.29|Peptidase_M23, PF04225.17|LysM_OapA, PF08525.16|OapA_N, PF19425.4|Csd3_N2, PF22310.2|NMB0315_dom_I	PFAM:PF01476.26, PFAM:PF01551.29, PFAM:PF04225.17, PFAM:PF08525.16, PFAM:PF19425.4, PFAM:PF22310.2
contig_1	2114909	2116120	+	DBOHML_02173	42.8	9.4	PF01490.24|Aa_trans	PFAM:PF01490.24
contig_1	2128931	2130343	+	DBOHML_02190	50.4	5.1		
contig_1	2135255	2135524	-	DBOHML_02198	10.6	9.9		
contig_1	2152875	2153810	-	DBOHML_02223	35.9	6.4	PF17151.10|CHASE7	PFAM:PF17151.10
contig_1	2153981	2154163	-	DBOHML_02224	6.7	4.7		
contig_1	2203622	2204269	+	DBOHML_02258	22.5	4.5	PF09134.16|Invasin_D3, PF21764.3|Invasin_D4	PFAM:PF09134.16, PFAM:PF21764.3
contig_1	2217340	2217825	-	DBOHML_02272	18.1	5.1	PF02283.22|CobU	PFAM:PF02283.22
contig_1	2223281	2223799	-	DBOHML_02276	19.3	7.9		
contig_1	2241687	2241881	+	DBOHML_02294	7.0	4.1		
contig_1	2245128	2246294	-	DBOHML_02298	43.3	6.3	PF00768.25|Peptidase_S11, PF07943.18|PBP5_C, PF13354.11|Beta-lactamase2	PFAM:PF00768.25, PFAM:PF07943.18, PFAM:PF13354.11
contig_1	2293815	2294303	-	DBOHML_02349	17.6	8.9	PF00132.30|Hexapep	PFAM:PF00132.30
contig_1	2310150	2310647	-	DBOHML_02362	18.7	9.3	PF00730.31|HhH-GPD	PFAM:PF00730.31
contig_1	2310664	2310993	-	DBOHML_02363	11.9	6.7	PF06029.17|AlkA_N	PFAM:PF06029.17
contig_1	2314429	2315109	-	DBOHML_02366	24.5	4.4		
contig_1	2316418	2316564	+	DBOHML_02371	5.2	10.0		
contig_1	2325027	2325596	+	DBOHML_02376	20.7	10.9		
contig_1	2370293	2370382	-	DBOHML_02415	3.3	5.9		
contig_1	2370901	2370990	-	DBOHML_02417	3.3	5.9		
