ID or #		Start	End	Type	Contig
==================================================
BMIABBIL_00001		337	2799	complete	NODE_6_length_358442_cov_29.805919:118603-121065
BMIABBIL_00002		2801	3733	complete	NODE_6_length_358442_cov_29.805919:121067-121999
BMIABBIL_00003		3734	5020	complete	NODE_6_length_358442_cov_29.805919:122000-123286
BMIABBIL_00004		5234	5530	complete	NODE_6_length_358442_cov_29.805919:123500-123796
BMIABBIL_00005		5683	6459	complete	NODE_6_length_358442_cov_29.805919:123949-124725
BMIABBIL_00006		6529	7959	complete	NODE_6_length_358442_cov_29.805919:124795-126225
BMIABBIL_00007		8238	9191	complete	NODE_6_length_358442_cov_29.805919:126504-127457
BMIABBIL_00008		9306	9893	complete	NODE_6_length_358442_cov_29.805919:127572-128159
BMIABBIL_00009		9928	10494	complete	NODE_6_length_358442_cov_29.805919:128194-128760
BMIABBIL_00010		10643	11356	complete	NODE_6_length_358442_cov_29.805919:128909-129622
BMIABBIL_00011		11382	11786	complete	NODE_6_length_358442_cov_29.805919:129648-130052
BMIABBIL_00012		12163	14079	complete	NODE_6_length_358442_cov_29.805919:130429-132345
BMIABBIL_00013		14168	15298	complete	NODE_6_length_358442_cov_29.805919:132434-133564
BMIABBIL_00016		16751	16903	complete	NODE_6_length_358442_cov_29.805919:133666-133818
BMIABBIL_00017		17489	18655	complete	NODE_6_length_358442_cov_29.805919:134404-135570
BMIABBIL_00018		18721	19620	complete	NODE_6_length_358442_cov_29.805919:135636-136535
BMIABBIL_00019		19811	20188	complete	NODE_9_length_292607_cov_26.037175:4391-4768
BMIABBIL_00020		20233	20508	complete	NODE_9_length_292607_cov_26.037175:4813-5088
BMIABBIL_00021		20815	21078	complete	NODE_6_length_358442_cov_29.805919:143466-143729
BMIABBIL_00022		21407	22348	complete	NODE_6_length_358442_cov_29.805919:144058-144999
BMIABBIL_00023		22391	25207	complete	NODE_6_length_358442_cov_29.805919:145042-147858
BMIABBIL_00024		25207	25701	complete	NODE_6_length_358442_cov_29.805919:147858-148352
BMIABBIL_00025		25826	26275	complete	NODE_6_length_358442_cov_29.805919:148477-148926
BMIABBIL_00026		26277	27227	complete	NODE_6_length_358442_cov_29.805919:148928-149878
BMIABBIL_00027		27293	28207	complete	NODE_6_length_358442_cov_29.805919:149944-150858
BMIABBIL_00028		28374	29195	complete	NODE_6_length_358442_cov_29.805919:151025-151846
BMIABBIL_00029		29651	30799	complete	NODE_6_length_358442_cov_29.805919:152302-153450
BMIABBIL_00030		30817	34038	complete	NODE_6_length_358442_cov_29.805919:153468-156689
BMIABBIL_00031		34300	34695	complete	NODE_6_length_358442_cov_29.805919:156951-157346
BMIABBIL_00032		34781	35371	complete	NODE_6_length_358442_cov_29.805919:157432-158022
BMIABBIL_00033		35377	36162	complete	NODE_6_length_358442_cov_29.805919:158028-158813
BMIABBIL_00034		36271	37824	complete	NODE_6_length_358442_cov_29.805919:158922-160475
BMIABBIL_00035		37898	39115	complete	NODE_6_length_358442_cov_29.805919:160549-161766
BMIABBIL_00036		39244	40386	complete	NODE_6_length_358442_cov_29.805919:161895-163037
BMIABBIL_00037		40417	41931	complete	NODE_6_length_358442_cov_29.805919:163068-164582
BMIABBIL_00038		42403	43173	complete	NODE_6_length_358442_cov_29.805919:165054-165824
BMIABBIL_00039		43188	44129	complete	NODE_6_length_358442_cov_29.805919:165839-166780
BMIABBIL_00040		44180	45466	complete	NODE_6_length_358442_cov_29.805919:166831-168117
BMIABBIL_00041		45463	45750	complete	NODE_6_length_358442_cov_29.805919:168114-168401
BMIABBIL_00042		45807	47138	complete	NODE_6_length_358442_cov_29.805919:168458-169789
BMIABBIL_00043		47246	47776	complete	NODE_6_length_358442_cov_29.805919:169897-170427
BMIABBIL_00044		47769	49631	complete	NODE_6_length_358442_cov_29.805919:170420-172282
BMIABBIL_00045		49712	50302	complete	NODE_6_length_358442_cov_29.805919:172363-172953
BMIABBIL_00046		50380	51222	complete	NODE_6_length_358442_cov_29.805919:173031-173873
BMIABBIL_00047		51229	51606	complete	NODE_6_length_358442_cov_29.805919:173880-174257
BMIABBIL_00048		51609	52430	complete	NODE_6_length_358442_cov_29.805919:174260-175081
BMIABBIL_00049		52427	53416	complete	NODE_6_length_358442_cov_29.805919:175078-176067
BMIABBIL_00050		53416	54702	complete	NODE_6_length_358442_cov_29.805919:176067-177353
