# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	217	1419	+	GJAFJC_00001	769.0	6.3e-281	1.0	0.857	0.998	UniRef:UniRef50_P14175
contig_1	cds	1412	2476	+	GJAFJC_00002	400.0	1.6e-137	0.884	0.828	0.668	UniRef:UniRef50_A0A3N2R1M8
contig_1	cds	2533	3525	+	GJAFJC_00003	570.0	1.2e-204	0.973	0.847	0.841	UniRef:UniRef50_Q8ZML1
contig_1	cds	3978	5162	+	GJAFJC_00004	687.0	1.7e-248	0.970	0.825	0.997	UniRef:UniRef50_P76628
contig_1	cds	5286	6023	+	GJAFJC_00005	465.0	4.5e-169	1.0	1.0	0.992	BlastRules:WP_000445651
contig_1	cds	6013	6348	+	GJAFJC_00006	110.0	6.9e-31	1.018	0.958	0.549	UniRef:UniRef50_C6DDD7
contig_1	cds	6439	6969	+	GJAFJC_00007	347.0	1.5e-124	1.0	1.0	1.0	BlastRules:WP_000378442
contig_1	cds	7096	8268	+	GJAFJC_00008	712.0	6.8e-262	1.0	1.0	0.997	BlastRules:WP_001326681
contig_1	cds	8285	9823	+	GJAFJC_00009	996.0	0.0	1.0	1.0	1.0	BlastRules:WP_001295176
contig_1	cds	9887	10402	-	GJAFJC_00010	317.0	3.7e-110	1.0	0.859	0.895	UniRef:UniRef50_Q9PN97
contig_1	ncRNA	10471	10542	+	GJAFJC_00011	83.9	2.5e-14	-	-	-	RFAM:RF00078
contig_1	cds	10552	12108	-	GJAFJC_00012	917.0	0.0	1.0	0.917	0.867	UniRef:UniRef50_P0A6W9
contig_1	cds	12181	12609	-	GJAFJC_00013	254.0	2.2e-86	0.986	0.864	0.879	UniRef:UniRef50_H5V5Y4
contig_1	cds	12606	13172	-	GJAFJC_00014	238.0	5.2e-79	1.027	0.990	0.632	UniRef:UniRef50_A0A085G4E0
contig_1	tRNA	13452	13528	-	GJAFJC_00015	85.1	-	-	-	-	-
contig_1	tRNA	13727	13803	-	GJAFJC_00016	85.1	-	-	-	-	-
contig_1	tRNA	14001	14077	-	GJAFJC_00017	85.1	-	-	-	-	-
contig_1	tRNA	14276	14352	-	GJAFJC_00018	85.1	-	-	-	-	-
contig_1	tRNA	14356	14448	-	GJAFJC_00019	83.4	-	-	-	-	-
contig_1	cds	14678	14767	+	GJAFJC_00020	-	-	-	-	-	-
contig_1	cds	14764	14949	-	GJAFJC_00021	108.0	1.2e-33	1.0	1.0	0.951	BlastRules:WP_002209449
contig_1	cds	15184	17814	-	GJAFJC_00022	1371.0	0.0	0.999	0.939	0.795	UniRef:UniRef50_Q8ZBT8
contig_1	cds	17942	18442	-	GJAFJC_00023	301.0	1.3e-104	1.0	0.927	0.873	UniRef:UniRef50_P33596
contig_1	cds	18511	19572	-	GJAFJC_00024	552.0	7.1e-198	0.935	0.943	0.842	UniRef:UniRef50_A0AA87C387
contig_1	cds	19652	20149	-	GJAFJC_00025	206.0	3.0e-67	0.982	1.0	0.667	UniRef:UniRef50_A0AAD2UXF8
contig_1	cds	20294	21484	-	GJAFJC_00026	605.0	6.6e-217	0.992	0.961	0.766	UniRef:UniRef50_P41052
contig_1	cds	21635	22198	+	GJAFJC_00027	379.0	7.5e-137	1.0	1.0	1.0	BlastRules:WP_000573321
contig_1	cds	22195	23154	+	GJAFJC_00028	617.0	1.7e-226	1.0	1.0	0.991	BlastRules:WP_000148878
